Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2001,Число женщин на 1 января,Частинский район,7574,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Частинский район', 7574);"
1,01.01.2001,Число женщин на 1 января,Чердынский район,16111,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чердынский район', 16111);"
1,01.01.2001,Число женщин на 1 января,Чернушинский район,28980,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чернушинский район', 28980);"
1,01.01.2001,Число женщин на 1 января,Чусовской район,42249,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чусовской район', 42249);"
1,01.01.2001,Число женщин на 1 января,г. Пермь,542589,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'г. Пермь', 542589);"
1,01.01.2001,Число женщин на 1 января,Александровский район,20877,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Александровский район', 20877);"
1,01.01.2001,Число женщин на 1 января,г. Березники,91554,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'г. Березники', 91554);"
1,01.01.2001,Число женщин на 1 января,Гремячинский район,11997,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Гремячинский район', 11997);"
1,01.01.2001,Число женщин на 1 января,Губахинский район,26366,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Губахинский район', 26366);"
1,01.01.2001,Число женщин на 1 января,Добрянский район,33891,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Добрянский район', 33891);"
1,01.01.2001,Число женщин на 1 января,Кизеловский район,23791,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Кизеловский район', 23791);"
1,01.01.2001,Число женщин на 1 января,Краснокамский район,40681,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Краснокамский район', 40681);"
1,01.01.2001,Число женщин на 1 января,г. Кунгур,41359,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'г. Кунгур', 41359);"
