Численность населения по итогам Всероссийской переписи населения (человек, значение показателя за год);;;
;;;
;;;2010
        Республика Бурятия;городское население;женщины;301091
        Республика Бурятия;городское население;мужчины;266541
        Республика Бурятия;сельское население;Всего;404389
        Республика Бурятия;сельское население;женщины;208575
        Республика Бурятия;сельское население;мужчины;195814
        Республика Тыва;все население;Всего;307930
        Республика Тыва;все население;женщины;161965
        Республика Тыва;все население;мужчины;145965
        Республика Тыва;городское население;Всего;163402
        Республика Тыва;городское население;женщины;86970
        Республика Тыва;городское население;мужчины;76432
        Республика Тыва;сельское население;Всего;144528
        Республика Тыва;сельское население;женщины;74995
        Республика Тыва;сельское население;мужчины;69533
        Республика Хакасия;все население;Всего;532403
        Республика Хакасия;все население;женщины;285518
        Республика Хакасия;все население;мужчины;246885
        Республика Хакасия;городское население;Всего;358187
        Республика Хакасия;городское население;женщины;193870
        Республика Хакасия;городское население;мужчины;164317
        Республика Хакасия;сельское население;Всего;174216
        Республика Хакасия;сельское население;женщины;91648
        Республика Хакасия;сельское население;мужчины;82568
        Алтайский край;все население;Всего;2419755
        Алтайский край;все население;женщины;1302300
        Алтайский край;все население;мужчины;1117455
        Алтайский край;городское население;Всего;1323578
        Алтайский край;городское население;женщины;723181
        Алтайский край;городское население;мужчины;600397
        Алтайский край;сельское население;Всего;1096177
        Алтайский край;сельское население;женщины;579119
        Алтайский край;сельское население;мужчины;517058
        Забайкальский край;все население;Всего;1107107
        Забайкальский край;все население;женщины;577621
        Забайкальский край;все население;мужчины;529486
        Забайкальский край;городское население;Всего;729641
        Забайкальский край;городское население;женщины;385563
        Забайкальский край;городское население;мужчины;344078
        Забайкальский край;сельское население;Всего;377466
        Забайкальский край;сельское население;женщины;192058
        Забайкальский край;сельское население;мужчины;185408
        Красноярский край;все население;Всего;2828187
        Красноярский край;все население;женщины;1510612
        Красноярский край;все население;мужчины;1317575
        Красноярский край;городское население;Всего;2157706
        Красноярский край;городское население;женщины;1167095
        Красноярский край;городское население;мужчины;990611
        Красноярский край;сельское население;Всего;670481
        Красноярский край;сельское население;женщины;343517
        Красноярский край;сельское население;мужчины;326964
        Иркутская область;все население;Всего;2428750
        Иркутская область;все население;женщины;1304370
        Иркутская область;все население;мужчины;1124380
        Иркутская область;городское население;Всего;1932334
        Иркутская область;городское население;женщины;1049534
        Иркутская область;городское население;мужчины;882800
        Иркутская область;сельское население;Всего;496416
        Иркутская область;сельское население;женщины;254836
        Иркутская область;сельское население;мужчины;241580
        Кемеровская область;все население;Всего;2763135
        Кемеровская область;все население;женщины;1496671
        Кемеровская область;все население;мужчины;1266464
