Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Краснокамский район;57127,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;г. Кунгур;68074,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Лысьвенский район;68660,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;г. Соликамск;97269,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Чайковский район;82898,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Пермский край;1999733,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;г. Кудымкар;30789,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Верещагинский район;22786,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Горнозаводский район;26141,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Ильинский район;10460,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Красновишерский район;17320,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Нытвенский район;32436,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Октябрьский район;16249,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Осинский район;22424,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Оханский район;7607,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Очерский район;18340,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;8312,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Усольский район;7075,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;12599,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;36270,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;59650,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;985794,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Александровский район;28953,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;г. Березники;164873,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Гремячинский район;14689,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Губахинский район;37595,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Добрянский район;48955,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Кизеловский район;30294,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Краснокамский район;57142,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;г. Кунгур;68116,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Лысьвенский район;68137,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;г. Соликамск;96222,00
1;01.01.2009;Численность постоянного городского населения по состоянию на 1 января;Чайковский район;82550,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Пермский край;1980762,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;г. Кудымкар;28999,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Верещагинский район;22221,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Горнозаводский район;24784,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Ильинский район;10206,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Красновишерский район;16144,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Нытвенский район;30778,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Октябрьский район;14771,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Осинский район;21103,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Оханский район;7308,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Очерский район;17433,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;8051,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Усольский район;5726,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;10537,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;33241,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;55620,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;990077,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Александровский район;27741,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;г. Березники;157348,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Гремячинский район;14177,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Губахинский район;37500,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Добрянский район;46310,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Кизеловский район;20066,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Краснокамский район;56432,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;г. Кунгур;65892,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Лысьвенский район;66227,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;г. Соликамск;98114,00
1;01.01.2010;Численность постоянного городского населения по состоянию на 1 января;Чайковский район;83063,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Пермский край;1975474,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;г. Кудымкар;29026,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Верещагинский район;22125,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Горнозаводский район;24496,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Ильинский район;10135,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Красновишерский район;16128,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Нытвенский район;30680,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Октябрьский район;14891,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Осинский район;21194,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Оханский район;7260,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Очерский район;17442,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;8029,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Усольский район;5687,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;10411,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;33300,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;55241,00
1;01.01.2011;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;991516,00
